date,tmax,tmin,tmean,rh_mean,wind_speed_max,pressure_mean,solar_radiation_sum,cloud_cover_mean,tdb,rh,wind_speed,solar_radiation_wm2,cloud_fraction,wet_bulb_temperature,globe_temperature,tmrt,utci,wbgt
2016-07-24,33.2,25.5,28.6,77,10.5,955.5,18.31,71,28.6,77.0,2.9166666666666665,211.92129629629628,0.71,25.342308774150922,32.916502192982456,49.40654491286813,34.103456812727735,27.182916580502134
2016-07-25,32.9,25.7,29.1,77,7.4,955.4,19.83,74,29.1,77.0,2.055555555555556,229.51388888888886,0.74,25.81825771684835,34.22340059055118,49.951277323979696,35.82785882656922,27.82746051990408
2016-07-26,33.8,25.9,28.7,81,13.6,955.6,17.2,99,28.7,81.0,3.7777777777777777,199.07407407407405,0.99,26.028892032542053,31.563264767932488,44.717050304410066,32.55649777508612,27.402877376365932
2016-07-27,29.7,24.4,25.7,92,9.8,956.2,8.6,100,25.7,92.0,2.7222222222222223,99.53703703703702,1.0,24.658421696935893,27.31121103117506,33.859202417239885,28.8584261837322,25.293137394090135
2016-07-28,29.0,24.2,25.7,89,6.9,955.3,8.29,100,25.7,89.0,1.9166666666666667,95.94907407407406,1.0,24.246824957031254,27.434019410977243,33.15977160380413,29.48214234197259,25.029581352117326
2016-07-29,28.8,23.9,25.5,91,10.5,953.9,8.6,100,25.5,91.0,2.9166666666666665,99.53703703703702,1.0,24.323913545750028,27.071637426900583,33.74051345958401,28.22884513941294,24.991066967405136
2016-07-30,28.5,23.9,25.7,91,10.8,953.8,9.7,100,25.7,91.0,3.0,112.2685185185185,1.0,24.521376139950984,27.45419560185185,34.964576389095726,28.644579406821073,25.22580241833606
2016-07-31,30.6,24.2,26.7,87,10.9,953.7,10.89,99,26.7,87.0,3.0277777777777777,126.04166666666667,0.99,24.949418219821645,28.682212370242215,37.076633190067014,29.903226539355867,25.871035227923592
2016-08-01,32.6,24.6,27.5,83,12.4,952.0,16.95,97,27.5,83.0,3.4444444444444446,196.18055555555554,0.97,25.160850471226638,30.49110814144737,43.62766499061519,31.446446688675444,26.460816958148122
2016-08-02,28.7,24.5,25.7,91,12.4,950.6,8.96,98,25.7,91.0,3.4444444444444446,103.70370370370371,0.98,24.521376139950984,27.265789473684208,34.569913003754266,27.954628877613,25.188121192702532
2016-08-03,30.9,24.0,26.8,85,13.8,950.7,16.83,95,26.8,85.0,3.8333333333333335,194.79166666666663,0.95,24.765779261151295,29.694310141509433,43.320481630635015,30.273266685699923,25.95490751110779
2016-08-04,29.6,24.3,26.7,83,13.1,951.4,13.1,98,26.7,83.0,3.638888888888889,151.62037037037035,0.98,24.386563570473644,28.937741157556268,39.38648275750552,29.306523598996034,25.528142730842802
2016-08-05,31.0,24.0,27.1,85,12.6,952.2,16.57,93,27.1,85.0,3.5,191.7824074074074,0.93,25.057651136297814,30.117752587145972,43.52947220374995,31.07473096229612,26.273906312837667
